Name|OSM tag|OSM tag proposal|AccessibleMaps Categories|AccessibleMaps Entities|AccessibleMaps Property|AccessibleMaps Sub-Property|A11yJSON tag|A11yJSON property
accessible for 3 disabled persons|access:disabled=3, disabled=3, disabled_spaces=3, wheelchair=yes||||||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Room#isAccessibleWithWheelchair, WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
accessible for 4 disabled persons|access:disabled=4 disabled=4, disabled_spaces=4, wheelchair=yes||||||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Room#isAccessibleWithWheelchair, WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
accessible for blind persons|access:blind=yes, blind=yes, blind:accessible=yes|||||||PlaceInfo#accessibility
accessible for deaf persons|access:deaf=yes|||||||PlaceInfo#accessibility
accessible for disabled persons|access:disabled=destination, access:disabled=permissive, access:disabled=yes, disabled=customers, disability_access=yes, (disable=yes: should not be used: same as disabled=yes), disabled=destination, disabled=permit, disabled=yes, disabled_spaces=yes, disabled_vehicle=yes, handicapped_accessible=yes, wheelchair=yes||||||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Room#isAccessibleWithWheelchair, WheelchairParking#neededParkingPermits, WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
accessible for mental disabled persons|access:disabled=customers, access:mental_disabled=yes|||||||PlaceInfo#accessibility
accessible for persons with sitting disabilities|sitting_disability=yes|||||||PlaceInfo#accessibility
accessible for persons with walking disabilities|walking_disability=yes, wheelchair=yes||||||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Room#isAccessibleWithWheelchair
accessible parking exists|access=yes, access:disabled=yes, amenity=parking, wheelchair=yes|accessible_parking=yes|Way to building|Accessible parking|existence [1]||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, WheelchairParking#count, WheelchairParking#distanceToEntrance, WheelchairParking#hasDedicatedSignage, WheelchairParking#isLocatedInside, WheelchairParking#length, WheelchairParking#location, WheelchairParking#maxVehicleHeight, WheelchairParking#neededParkingPermits, WheelchairParking#paymentBySpace, WheelchairParking#paymentByZone, WheelchairParking#width
accessible parking location vertical clearance for the van space|access=yes, access:disabled=yes, amenity=paring, maxheight=3, wheelchair=yes|accessible_parking=yes|Way to building|Accessible parking|location [2]|vertical clearance for the van space|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, WheelchairParking#count, WheelchairParking#distanceToEntrance, WheelchairParking#hasDedicatedSignage, WheelchairParking#isLocatedInside, WheelchairParking#length, WheelchairParking#location, WheelchairParking#maxVehicleHeight, WheelchairParking#neededParkingPermits, WheelchairParking#paymentBySpace, WheelchairParking#paymentByZone, WheelchairParking#width
accessible parking sign|access=yes, access:disabled=yes, amenity=parking, information=guidepost, wheelchair=yes|sign=accessible_parking|Way to building|Accessible parking|sign [1]||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, WheelchairParking#count, WheelchairParking#distanceToEntrance, WheelchairParking#hasDedicatedSignage, WheelchairParking#isLocatedInside, WheelchairParking#length, WheelchairParking#location, WheelchairParking#maxVehicleHeight, WheelchairParking#neededParkingPermits, WheelchairParking#paymentBySpace, WheelchairParking#paymentByZone, WheelchairParking#width
accessible parking van accessibility sign|access=yes, access:disabled=yes, amenity=parking, amenity=parking_space, information=board, information=guidepost, maxheight=default, parking_space=hgv, parking_space=disabled,  traffic_sign=maxheight, wheelchair=yes|sign=accessible_parking|Way to building|Accessible parking|sign [1]|van accessibility sign|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, WheelchairParking#count, WheelchairParking#distanceToEntrance, WheelchairParking#hasDedicatedSignage, WheelchairParking#isLocatedInside, WheelchairParking#length, WheelchairParking#location, WheelchairParking#maxVehicleHeight, WheelchairParking#neededParkingPermits, WheelchairParking#paymentBySpace, WheelchairParking#paymentByZone, WheelchairParking#width
accessible parking with access aisles|access=yes, access:disabled=yes, amenity=parking, amenity=parking_space, footway=access_aisle, parking_space=disabled, wheelchair=yes||Way to building|Accessible parking|access aisles||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, WheelchairParking#count, WheelchairParking#distanceToEntrance, WheelchairParking#hasDedicatedSignage, WheelchairParking#isLocatedInside, WheelchairParking#length, WheelchairParking#location, WheelchairParking#maxVehicleHeight, WheelchairParking#neededParkingPermits, WheelchairParking#paymentBySpace, WheelchairParking#paymentByZone, WheelchairParking#width
accessible platform lift|access=yes, access:disabled=yes, elevator=lift, elevator=wheelchair, elevator=yes, highway=elevator, room=elevator, wheelchair=yes||Change Elevation|Platform lift|accessibility [3]||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility
accessible route|access=yes, access:disabled=yes, wheelchair=yes|route=accessible|Way to building|Accessible parking|access aisles|do access aisles adjoin an accessible route?|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, EquipmentProperties#alternativeRouteInstructions, PlaceInfo#accessibility
accessible through door|access=yes, access:disabled=yes, door=yes, wheelchair=yes||Building characteristics|Doorways|accessibility [1]|through door|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility
accessible toilet / toilet compartment|access=yes, amenity=toilets, building=toilets, room=toilet, toilets=yes, toilets_access=community, toilets_access=public, toilets:wheelchair=yes, wheelchair=yes||Facility daily needs|Toilet / toilet compartment|accessibility [4]||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Restroom#isAccessibleWithWheelchair, Restroom#toilet, Room#isAccessibleWithWheelchair
accessible toilet / toilet compartment for people with disabilities|access=yes, access:disabled=yes, amenity=toilets, building=toilets, room=toilet, toilets=yes, toilets_access=community, toilets_access=public, toilets:wheelchair=yes, wheelchair=yes||Facility daily needs|Toilet / toilet compartment|access [3]|people with disabilities|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Restroom#isAccessibleWithWheelchair, Restroom#toilet, Room#isAccessibleWithWheelchair
accessible toilet height|access=yes, access:disabled=yes, amenity=toilets, building=toilets, height=0.47, room=toilet, toilets=yes, toilets_access=community, toilets_access=public, toilets:wheelchair=yes, wheelchair=yes||Facility daily needs|Toilet / toilet compartment|accessibility [4]|toilet height|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Restroom#isAccessibleWithWheelchair, Restroom#toilet, Room#isAccessibleWithWheelchair, Toilet#heightOfBase
acoustic signals: arrival signal / no|Acoustic guide=yes, elevator=lift, elevator=wheelchair, elevator=yes, highway=elevator, room=elevator, sound=no, sound=yes, sound_level=high, sound_level=low, sound_level=medium|acoustic_signals=arrival_signals, acoustic_signals=no|Change Elevation|Elevator|exterior operating elements|acoustic signals: arrival signal / no||
active fire protection measure, and a source of water provided in most urban, suburban, and rural areas with municipal water service to enable fire fighters to tap into the municipal water supply to assist in extinguishing a fire|emergency=fire_hydrant|||||||
actual interpolation way|addr:inclusion=actual|||||||StructuredAddress#building, StructuredAddress#city, StructuredAddress#countryCode, StructuredAddress#county, StructuredAddress#district, StructuredAddress#house, StructuredAddress#level, StructuredAddress#postalCode, StructuredAddress#regions, StructuredAddress#room, StructuredAddress#state, StructuredAddress#stateCode, StructuredAddress#street, StructuredAddress#text
acupressure massage|massage=acupressure|||||||
ADA compliant||ADA_compliant=yes|Facility daily needs|Toilet / toilet compartment|accessibility [4]|accessibility level: ADA compliant||PlaceInfo#accessibility, Restroom#toilet
additional charge is required to access the internet, even for customers|internet_access:fee=yes|||||||
additional entry|entrance=secondary||Building characteristics|Doorways|type of entrance/exit door|side entrance||Entrance#door
address interpolation way may contain numbers that don't actually physically exist|addr:inclusion=estimate|||||||PlaceInfo#address, StructuredAddress#building, StructuredAddress#city, StructuredAddress#countryCode, StructuredAddress#county, StructuredAddress#district, StructuredAddress#house, StructuredAddress#level, StructuredAddress#postalCode, StructuredAddress#regions, StructuredAddress#room, StructuredAddress#state, StructuredAddress#stateCode, StructuredAddress#street, StructuredAddress#text
address of rooms / venues / offices|addr:door=user defined, addr:flat=user defined, addr:floor=user defined, addr:full=user defined, addr:unit=user defined, ref=101||General help for orientation / Technical assistance|Rooms / venues / offices|address [2]|||PlaceInfo#address, StructuredAddress#building, StructuredAddress#city, StructuredAddress#countryCode, StructuredAddress#county, StructuredAddress#district, StructuredAddress#house, StructuredAddress#level, StructuredAddress#postalCode, StructuredAddress#regions, StructuredAddress#room, StructuredAddress#state, StructuredAddress#stateCode, StructuredAddress#street, StructuredAddress#text
administration|room=administration|||||||
advertisement painted on a wall|advertisment=wall_painting|||||||
advertising billboard (also called a hoarding) is a large outdoor advertising structure, typically found in high-traffic areas such as alongside busy roads|advertising=billboard|||||||
advertising column, a cylindrical outdoor structure which shows advertisements|advertising=column|||||||
advertising on tarp, either on scaffolding, or wall tarp|advertising=tarp|||||||
advertising screen|advertising=screen|||||||Media#hasDedicatedScreenForSubtitles, Media#hasRealTimeCaptioning, Media#hasSubtitles, Media#type
advertising sculpture, or any advertising object in 3D|advertising=sculpture|||||||
advertising sign, also used for neon signs and logos|advertising=sign|||||||
aero light is established for aeronautical navigation|light:category=aero|||||||
agricultural building used for storage and as a covered workplace|building=barn|||||||
air condition|airconditioned=yes, air_conditioning=no, air_conditioning=yes||General help for orientation / Technical assistance|Rooms / venues / offices|machine or device|air condition||
air-condition existing|airconditioned=yes|||||||
alarm in the 2-sense system|emergency=siren, light_source=warning, sensor:triggers=alarm, sensor:triggers=light|emergency=2-sense|Security|Escape route|alarm in the 2-sense system|||
all animals are allowed|animal=yes, dog=yes|||||||AnimalPolicy#allowsAnyAnimals
all glass-door: high contrast to background: yes / no|door=yes, material=glass|high_contrast=no, high_contrast=yes|Building characteristics|Doorways|material of the entrance door|all glass-door: high contrast to background: yes / no||Door#hasClearMarkingOnGlassDoor, EquipmentProperties#door, EquipmentProperties#isHighContrast
all numbers are used to interpolate the house numbers|addr:interpolation=all|||||||StructuredAddress#building, StructuredAddress#city, StructuredAddress#countryCode, StructuredAddress#county, StructuredAddress#district, StructuredAddress#house, StructuredAddress#level, StructuredAddress#postalCode, StructuredAddress#regions, StructuredAddress#room, StructuredAddress#state, StructuredAddress#stateCode, StructuredAddress#street, StructuredAddress#text
all public spaces are on at least one accessible route|access=yes, access:disabled=yes, wheelchair=yes|route=accessible|Building characteristics|Floor (pathway)|are all public spaces on at least one accessible route?||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, EquipmentProperties#alternativeRouteInstructions, PlaceInfo#accessibility
alley is a service road usually located between properties for access to utilities|service=alley|||||||
alternating access for persons of the female sex or gender only|female=alternating|||||||
alternating access for persons of the male sex or gender|male=alternating|||||||
alternative accessible doorway|access=yes, access:disabled=yes, door=yes, entrance=secondary, wheelchair=yes||Building characteristics|Doorways|alternative accessible entrance [1]||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Entrance#door, EquipmentProperties#door
alternative accessible entrance to rooms / venues / offices|access=yes, access:disabled=yes, door=yes, entrance=secondary, wheelchair=yes||General help for orientation / Technical assistance|Rooms / venues / offices|alternative accessible entrance [2]||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Entrance#door, Room#isAccessibleWithWheelchair
alternative route instructions|board_type=map, description=user defined, information=guidepost, information=map, information=route_marker|route=accessible||||||EquipmentProperties#alternativeRouteInstructions
alternative route using ramps|highway=access_ramp|||||||EquipmentProperties#alternativeRouteInstructions
alternative use of relaxation room|room=relaxation|alternative_use=yes|Facility daily needs|Relaxation room|alternative use|||
alternative use of toilet compartment|amenity=toilets, building=toilets, room=toilet, toilets=yes|alternative_use=yes|Facility daily needs|Toilet / toilet compartment|accessibility [4]|alternative use||Restroom#toilet
ambulance station is a structure or other area set aside for storage of ambulance vehicles, medical equipment, personal protective equipment, and other medical supplies|ambulance_station|||||||
ammunition dump|room=ammunition dump|||||||
analog display|display=analog|||||||
and handling advertising|office=advertising_agency|||||||
angular aperture of a directed light source is 45°|light:aperture=45|||||||
annotations about toilet / toilet compartment|building=toilets, room=toilet, toilets=yes|annotations=user defined, annotations=yes|Facility daily needs|Toilet / toilet compartment|annotations|||Restroom#toilet
any water drain or decorative tactile element can be used for orientation accidentally, but no typical tactile ground elements are used|tactile_paving=primitive|||||||
apartments are part of building|building:part=apartments|||||||
approachability of the water closet: on both sides / only left / only right|access:disabled=yes, height=user defined, length=user defined, width=user defined, wheelchair=yes|clear_floor_space=yes, water_closet=yes|Facility daily needs|Toilet / toilet compartment|water closet|approachability: on both sides / only left / only right|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Pathways#widthAtObstacles, PlaceInfo#accessibility, Restroom#toilet, Room#isAccessibleWithWheelchair, Toilet#heightOfBase, Toilet#spaceInFront, Toilet#spaceOnUsersLeftSide, Toilet#spaceOnUsersRightSide
approaching the building|blind:description:lg=user defined, deaf:description:lg=user defined, description=user defined, wheelchair:description:lg=user defined||General building information|Formal information|description [2]|approaching the building||
aquarium|room=auqarium|||||||
arc lamp|light:method=arc|||||||
arcade is a succession of arches|covered=arcade|||||||
archive|room=archive|||||||
area next to WC in cm: left: ... / right: ... (Note: if you stand in front of the WC and look at it, then the left or right side)|building=toilets, length=user defined, room=toilet, toilets=yes, toilets_access=community, toilets_access=public, width=user defined|clear_floor_space=yes|Facility daily needs|Toilet / toilet compartment|water closet|area next to WC in cm: left: ... / right: ... (Note: if you stand in front of the WC and look at it, then the left or right side)||Ground#turningSpace, Media#turningSpaceInFront, PlaceInfo#accessibility, Restroom#toilet, Restroom#turningSpaceInside, Toilet#spaceInFront, Toilet#spaceOnUsersLeftSide, Toilet#spaceOnUsersRightSide
area of movement (outside the elevator): width / depth in cm|elevator=lift, elevator=wheelchair, elevator=yes, highway=elevator, room=elevator, width=user defined|clear_floor_space=yes|Change Elevation|Elevator|dimensions outside|area of movement (outside): width / depth in cm||Ground#turningSpace, Media#turningSpaceInFront
area that is usually enclosed by walls or buildings|man_made=courtyard|||||||
armchair||armchair=yes|Movables|Furniture|type: seating|armchair||
arms depot|room=arms depot|||||||
artisan who builds things by joining pieces of wood, particularly furniture or ornamental work|craft=joiner|||||||
artistically worked stone|artwork_type=stone|||||||
at intervals|supervised=interval|||||||
at least one toilet room accessible|access=yes, access:disabled=yes, bulding=toilets, room=toilet, toilets=yes, toilets_access=community, toilets_access=unspecified, toilets_access=public, toilets:wheelchair=yes||Facility daily needs|Toilet / toilet compartment|accessibility [4]|at least one toilet room accessible|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Restroom#isAccessibleWithWheelchair, Restroom#toilet, Room#isAccessibleWithWheelchair
at least the first and the last step|step:contrast=yes|||||||
at night|lit=yes|||||||
attention fields in front of doors: yes, function(s): ... / no|door=yes|attention_field=yes|Building characteristics|Doorways|attention fields in front of doors|yes, function(s): ... / no||EquipmentProperties#door
attention fields in front of doorways|door=yes|attention_field=yes|Building characteristics|Doorways|attention fields in front of doors|||EquipmentProperties#door
attribute for naming levels|indoor=level, level=user defined|||||||StructuredAddress#level, StructuredAddress#text
audibility|audio=yes, audio_anouncement=yes, sound=yes, sound_level=high, sound_level=low, sound_level=medium|audibility=bad, audibility=good, audibility=medium|General help for orientation / Technical assistance|Technology|audibility|||
audibility interference sources: considerable / tolerable / not considerable|audio=yes, audio_anouncement=yes, sound=yes, sound_level=high, sound_level=low, sound_level=medium|audibility=bad, audibility=good, audibility=medium, interference_source=considerable, interference_source=not considerable interference_source=tolerable|General help for orientation / Technical assistance|Technology|audibility|interference sources: considerable / tolerable / not considerable||EquipmentProperties#disruptionSourceImportId
audible signals about floor: arrival signal / no|Acoustic guide=no, Acoustic guide=yes, audio=yes, audio_anouncement=no, audio_anouncement=yes, elevator=lift, elevator=wheelchair, elevator=yes, highway=elevator, room=elevator, sound=yes, sound_level=high, sound_level=low, sound_level=medium|acoustic_signals=arrival_signals, acoustic_signals=no|Change Elevation|Elevator|in-car controls / equipment|audible signals about floor: arrival signal / no||
audible signals about floor: floor announcement: clear / unclear|Acoustic guide=no, Acoustic guide=yes, audio=yes, audio_anouncement=no, audio_anouncement=yes, elevator=lift, elevator=wheelchair, elevator=yes, highway=elevator, room=elevator, sound=yes, sound_level=high, sound_level=low, sound_level=medium|acoustic_signals=clear, acoustic_signals=unclear|Change Elevation|Elevator|in-car controls / equipment|audible signals about floor: floor announcement: clear / unclear||EquipmentProperties#hasSpeech
audio anouncement|audio_anouncement=yes|||||||EquipmentProperties#hasSpeech, Media#isAudio, Media#type
audio beacon|information=audio_beacon|||||||Media#isAudio, Media#type, PlaceInfo#accessibility
audio loop|audio_loop=yes|||||||EquipmentProperties#hasSpeech, Media#isAudio, Media#type
audio output|audio=yes|||||||EquipmentProperties#hasSpeech, Media#isAudio, Media#type
audioguide|information=audioguide|||||||EquipmentProperties#hasSpeech, Media#isAudio, Media#type
auditorium|room=auditorium||General help for orientation / Technical assistance|Rooms / venues / offices|type [15]|auditorium||PlaceInfo#category
auditory reference points: sound source; music; signs with audio sound|audio=yes, audio_anouncement=yes, reference_point=yes, sound=yes, sound_level=high, sound_level=low, sound_level=medium|auditory_reference_point=music, auditory_reference_point=yes, sign=yes|General help for orientation / Technical assistance|Reference points|auditory: sound source; music; signs with audio sound|||EquipmentProperties#disruptionSourceImportId, EquipmentProperties#hasSpeech
automatic and remote controls|control=automatic;remote|||||||
Automatic opening on user detection|automatic_door=motion, automatic_door=floor, automatic_door=slowdown_button, automatic_door=yes|||||||Door#isAutomaticOrAlwaysOpen, EquipmentProperties#door
average incline|incline:avg=15%, incline:avg=10°|||||||Pathways#maxLongitudinalSlope
aviary|room=aviary|||||||
axial height of the lowest knob in cm in the elevator|elevator=lift, elevator=wheelchair, elevator=yes, height=user defined, highway=elevator, room=elevator||Change Elevation|Elevator|in-car controls / equipment|axial height of the lowest knob in cm||EquipmentProperties#heightOfControls
axial height of the top button in cm in the elevator|button_operated=yes, elevator=lift, elevator=wheelchair, elevator=yes, height=user defined, highway=elevator, room=elevator||Change Elevation|Elevator|in-car controls / equipment|axial height of the top button in cm:||EquipmentProperties#heightOfControls
backdoor|entrance=service|||||||Entrance#door, EquipmentProperties#door
backrest does not exist|backrest=no|||||||
backrest exists|backrest=yes||Movables|Benches|back support|||
backstage|room=make-up|||||||
bad audio loop|audio_loop=bad|||||||EquipmentProperties#hasSpeech, Media#isAudio, Media#type
badly accessible for disabled persons|access:disabled=bad, wheelchair=limited, wheelchair=no||||||Accessibility#accessibleWith.wheelchair == false, Accessibility#partiallyAccessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Accessibility#partiallyAccessibleWith.wheelchair, PlaceInfo#accessibility
balcony|room=balcony||General help for orientation / Technical assistance|Rooms / venues / offices|balcony|||
baptism|room=baptism|||||||
bar or pole pivoted (rotates upwards to open)|barrier=lift_gate|||||||
barn|room=barn|||||||
barrier along a path preventing access by motorcycles|barrier=motorcycle_barrier|||||||
barrier made of heavy prefabricated blocks|barrier=jersey_barrier|||||||
barrier to stop cars|barrier=sump_buster|||||||
barrier which nature cannot be determined|barrier=yes|||||||
barrier-free controls in elevator|access=yes, access:disbaled=bad, access:disabled=designated, access:disabled=no, access:disabled=only, access:disabled=permissive, access:disabled=private, acces:disabled=yes, control=automatic;remote, control=buttons, control=manual, control=manual;local, control=manual_locked, control=manual;remote, control=remote, control=remote_electric, control=spring, elevator=lift, elevator=wheelchair, elevator=yes, highway=elevator, room=elevator||Change Elevation|Elevator|in-car controls / equipment|completely barrier-free and unrestricted use: yes / partially / no||EquipmentProperties#heightOfControls, PlaceInfo#accessibility
barrier-free lateral approach of toilet in cm|access=yes, access:disabled=designated, access:disabled=only, access:disabled=permissive, access:disabled=private, acces:disabled=yes, building=toilets, length=user defined, room=toilet, toilets=yes, toilets:wheelchair=yes, width=user defined|clear_floor_space=yes|Facility daily needs|Toilet / toilet compartment|water closet|barrier-free lateral approach in cm [2]|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Ground#turningSpace, Media#turningSpaceInFront, PlaceInfo#accessibility, Restroom#isAccessibleWithWheelchair, Restroom#toilet, Restroom#turningSpaceInside, Room#isAccessibleWithWheelchair, Toilet#spaceInFront, Toilet#spaceOnUsersLeftSide, Toilet#spaceOnUsersRightSide
barrier-free lateral approachability of door|access=yes, access:disabled=designated, access:disabled=only, access:disabled=permissive, access:disabled=private, acces:disabled=yes, door=yes, door:opening=both, door:opening=inside, door:opening=outside,length=user defined, width=user defined|clear_floor_space=yes|Building characteristics|Doorways|accessibility [1]|barrier-free lateral approachability (min. 50 cm)||Door#turningSpaceInFront, EquipmentProperties#door, Ground#turningSpace, Media#turningSpaceInFront, PlaceInfo#accessibility
barrier-free opening/closing mechanism of a door|access=yes, access:disabled=designated, access:disabled=only, access:disabled=permissive, access:disabled=private, acces:disabled=yes, automatic_door=button, automatic_door=continous, automatic_door=floor, automatic_door=motion, automtic_door=no, automatic_door=slowdown_button, automatic_door=yes, door=yes, door:handle=crash_bar, door:handle=hole, door:handle=knob, door:handle=lever, door:handle=ring, door:opening=both, door:opening=inside, door:opening=outside||Building characteristics|Doorways|opening/closing mechanism|barrier-free||Door#isAutomaticOrAlwaysOpen, EquipmentProperties#door, PlaceInfo#accessibility
barriers that slows or prevents access for bicycle users|barrier=cycle_barrier|||||||
bath room|room=bath|||||||Restroom#hasBathTub
bedroom|room=bedroom||Movables|Furniture|type: seating|bed||
beep - beep in most countries|traffic_signals:sound=walk|||||||
beer garden|room=beer garden|||||||
behaviour rules||behaviour_rules=user defined, behaviour_rules=yes|General building information|Formal information|behaviour rules|||
bell tower|room=bell tower|||||||
bench is affixed to wall|amenity=bench, barrier=wall, room=benches,||Movables|Benches|affixed to wall|||
bicyle pictogram|pictogram=bicycle|||||||
big pieces of rock used to improve path quality|surface=rock|||||||
bills are accepted as payment|payment:notes=yes|||||||Payment#acceptsBills, WheelchairParking#paymentBySpace, WheelchairParking#paymentByZone
blind persons can use website|blind:website:lg=URL|||||||EquipmentProperties#serviceWebsiteUrl
block of private garages each with a separate owner|building=garages|||||||
Bluetooth|indoormark=beacon|bluetooth=yes||||||
Bluetooth, NFC or QR beacon for indoor positioning|indoormark=beacon|bluetooth=yes, NFC_beacon=yes, QR_beacon=yes||||||
board with a map|information=map|||||||
board with information about view|board_type=sight|||||||Media#type
boat shop, may also offer further services|shop=boat|||||||
boat used primarily as a home, staying at a single permanent location|building=houseboat|||||||
both night and day|lit=24/7|||||||
