Name|Semantic tags|OSM tag|OSM tag proposal|AccessibleMaps Categories|AccessibleMaps Entities|AccessibleMaps Property|AccessibleMaps Sub-Property|A11yJSON tag|A11yJSON property
only accessible through elevator|<ACC>|elevator=only||Building characteristics|Doorways|accessibility [1]|through elevator||
open to both genders|<ACC>|unisex=alternating|||||||
owner can revoke access at his own discretion|<ACC>|access=permissive|||||||
parallel way must be used instead|<ACC>|access=use_sidepath|||||||
access permission may later be withdrawn|<ACC>|foot=permissive, access:disabled=permissive|||||||
public access to floor (pathway)|<ACC>|access=yes, highway=footway, highway=path||Building characteristics|Floor (pathway)|access [5]|public [1]||
restricted access to floor (pathway)|<ACC>|access=permissive, access=permit, highway=corridor, highway=footway, highway=path||Building characteristics|Floor (pathway)|access [5]|restricted [2]||
private vehicle access, some may still use it|<ACC>|vehicle=private, access:disabled=private|||||||
relaxation room is (not) accessible|<ACC> <ACCY>|access=no, access=yes, access:disabled=no, access:disabled=yes, room=relaxation, wheelchair=yes, wheelchair=no||Facility daily needs|Relaxation room|access [6]|accessible / not accessible|Accessibility#accessibleWith.wheelchair == false, Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Room#isAccessibleWithWheelchair
room only for VIP|<ACC> <ROOM>|room=vip|||||||PlaceInfo#category, StructuredAddress#room
the public has an official, legally-enshrined right of access, usage is officially discouraged|<ACC> <WARN>|access=yes, access=discouraged|||||||
accessible for 1 disabled person|<ACCY>|access:disabled=1, disabled=1, disabled_spaces=1, wheelchair=yes||||||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Room#isAccessibleWithWheelchair, WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
accessible for 2 disabled persons|<ACCY>|access:disabled=2, disabled=2, disabled_spaces=2, wheelchair=yes||||||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Room#isAccessibleWithWheelchair, WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
accessible for 3 disabled persons|<ACCY>|access:disabled=3, disabled=3, disabled_spaces=3, wheelchair=yes||||||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Room#isAccessibleWithWheelchair, WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
accessible for 4 disabled persons|<ACCY>|access:disabled=4 disabled=4, disabled_spaces=4, wheelchair=yes||||||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Room#isAccessibleWithWheelchair, WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
accessible for blind persons|<ACCY>|access:blind=yes, blind=yes, blind:accessible=yes|||||||PlaceInfo#accessibility
accessible for deaf persons|<ACCY>|access:deaf=yes|||||||PlaceInfo#accessibility
accessible for disabled persons|<ACCY>|access:disabled=destination, access:disabled=permissive, access:disabled=yes, disabled=customers, disability_access=yes, (disable=yes: should not be used: same as disabled=yes), disabled=destination, disabled=permit, disabled=yes, disabled_spaces=yes, disabled_vehicle=yes, handicapped_accessible=yes, wheelchair=yes||||||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Room#isAccessibleWithWheelchair, WheelchairParking#neededParkingPermits, WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
accessible for mental disabled persons|<ACCY>|access:disabled=customers, access:mental_disabled=yes|||||||PlaceInfo#accessibility
accessible for persons with sitting disabilities|<ACCY>|sitting_disability=yes|||||||PlaceInfo#accessibility
accessible for persons with walking disabilities|<ACCY>|walking_disability=yes, wheelchair=yes||||||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Room#isAccessibleWithWheelchair
accessible platform lift|<ACCY>|access=yes, access:disabled=yes, elevator=lift, elevator=wheelchair, elevator=yes, highway=elevator, room=elevator, wheelchair=yes||Change Elevation|Platform lift|accessibility [3]||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility
ADA compliant|<ACCY>||ADA_compliant=yes|Facility daily needs|Toilet / toilet compartment|accessibility [4]|accessibility level: ADA compliant||PlaceInfo#accessibility, Restroom#toilet
badly accessible for disabled persons|<ACCY>|access:disabled=bad, wheelchair=limited, wheelchair=no||||||Accessibility#accessibleWith.wheelchair == false, Accessibility#partiallyAccessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Accessibility#partiallyAccessibleWith.wheelchair, PlaceInfo#accessibility
blind persons can use website|<ACCY>|blind:website:lg=URL|||||||EquipmentProperties#serviceWebsiteUrl
not accessible with wheelchairs|<ACCY>|wheelchair=no||||||Accessibility#accessibleWith.wheelchair == false|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility
accessibility certified by the German organisation DEHOGA|<ACCY>|dehoga:a=yes, dehoga:b=yes, dehoga:c=yes, dehoga:d=yes, dehoga:e=yes|||||||
clear floor space at the end of the bench|<ACCY>|amenity=bench, height=user defined, length=user defined, room=benches, width=user defined|clear_floor_space=yes|Movables|Benches|clear floor space at the end of the bench|||Ground#turningSpace, Media#turningSpaceInFront, PlaceInfo#accessibility
clear floor space by platform space|<ACCY>|elevator=lift, elevator=wheelchair, elevator=yes, highway=elevator, room=elevator, height=user defined, length=user defined, width=user defined|clear_floor_space=yes|Change Elevation|Platform lift|clear floor space [2]|||Ground#turningSpace, Media#turningSpaceInFront, PlaceInfo#accessibility
clear floor space for approaching accessible surface|<ACCY>|access=yes, access:disabled=yes, height=user defined, length=user defined, surface=acrylic, surface=asphalt,surface=concrete, surface=concrete:lanes, surface=concrete:plates, surface=metal, surface=paved, surface=paving_stones, surface=tartan, surface=wood, wheelchair=yes, width=user defined|clear_floor_space=yes|Movables|Wheelchair space (seatings)|clear floor space for approaching accessible surface||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Ground#turningSpace, Media#turningSpaceInFront, PlaceInfo#accessibility, PlaceInfo#accessibility, Room#isAccessibleWithWheelchair
clear floor space in relaxation room|<ACCY>|height=user defined, length=user defined, room=relaxation, width=user defined|clear_floor_space=yes|Facility daily needs|Relaxation room|clear floor space [4]|||Ground#turningSpace, Media#turningSpaceInFront, PlaceInfo#accessibility, Room#isAccessibleWithWheelchair
clear line of sight from wheelchair space (seatings)|<ACCY>|indoor_seating=bar_table, indoor_seating=no, indoor_seating=yes, outdoor_seating=no, outdoor_seating=yes|line_of_sight=clear|Movables|Wheelchair space (seatings)|clear line of sight|||PlaceInfo#accessibility, WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
communication aid|<ACCY>|hearing_aids=yes, hearing_impaired:induction_loop=yes, audio_loop=bad, audio_loop=yes|communication_aid=yes|General help for orientation / Technical assistance|Technology|communication aid|||
communication aid: yes, inductive listening loop to row: ...|<ACCY>|hearing_impaired:induction_loop=yes||General help for orientation / Technical assistance|Technology|communication aid|yes, inductive listening loop to row: ...||
communication aid: yes, other (e.g. mobile hearing aids, radio hearing loop)|<ACCY>|hearing_aids=yes, audio_loop=bad, audio_loop=yes||General help for orientation / Technical assistance|Technology|communication aid|yes, other (e.g. mobile hearing aids, radio hearing loop)||
companion seat in immediate area of wheelchair space|<ACCY>||clear_floor_space=yes, companion_seat=yes, wheelchair_space=yes|Movables|Wheelchair space (seatings)|companion seat|equivalent to seating in immediate area||WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
companion seat in wheelchair space|<ACCY>||clear_floor_space=yes, companion_seat=yes, wheelchair_space=yes|Movables|Wheelchair space (seatings)|companion seat|existence [8]||WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
companion seat in wheelchair space (seatings)|<ACCY>||clear_floor_space=yes, companion_seat=yes, wheelchair_space=yes|Movables|Wheelchair space (seatings)|companion seat|||WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
continous handrail|<ACCY>|handrail=both, handrail=center, handrail=left, handrail=multiple, handrail=no, handrail=none, handrail=rigth, handrail=yes, handrail:center=no, handrail:center=yes, handrail:left=no, handrail:left=yes, handrail:right=no, handrail:right=yes|continous_handrail=yes|Change in Ground Height|Ramp|handrail [2]|continuous||Stairs#hasHandRail
continuation of the handrail|<ACCY>|handrail=both, handrail=center, handrail=left, handrail=multiple, handrail=no, handrail=none, handrail=rigth, handrail=yes, handrail:center=no, handrail:center=yes, handrail:left=no, handrail:left=yes, handrail:right=no, handrail:right=yes, |continous_handrail=yes|Change Elevation|Stairs|handrail [3]|continuation of the handrail at the inlet and outlet||Stairs#hasHandRail
cross section (width/diameter) of the handrail in cm|<ACCY>|handrail=yes, handrail=multiple|crosssection=user defined|Change Elevation|Stairs|handrail [3]|cross section (width/diameter) in cm||Stairs#hasHandRail
designated for disabled persons|<ACCY>|access:disabled=designated, disabled=designated|||||||PlaceInfo#accessibility, WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
designed for wheelchair access only|<ACCY>|wheelchair=designated|||||||Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, WheelchairParking#count, WheelchairParking#distanceToEntrance, WheelchairParking#hasDedicatedSignage, WheelchairParking#isLocatedInside, WheelchairParking#length, WheelchairParking#location, WheelchairParking#maxVehicleHeight, WheelchairParking#neededParkingPermits, WheelchairParking#paymentBySpace, WheelchairParking#paymentByZone, WheelchairParking#width, WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
dimension of ramp|<ACCY>|height=user defined, length=user defined, ramp=separate, ramp=yes, width=user defined||Change in Ground Height|Ramp|dimension [12]|||
dimension of wheelchair space (seatings)|<ACCY>|height=user defined, length=user defined, wheelchair=yes, width=user defined|clear_floor_space=yes, wheelchair_space=yes|Movables|Wheelchair space (seatings)|dimension [8]||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Room#isAccessibleWithWheelchair, WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
dimensions of the level landing at the top and bottom of the ramp|<ACCY>|height=user defined, length=user defined, ramp=separate, ramp=yes, width=user defined||Change in Ground Height|Ramp|dimensions of the level landing at the top and bottom of the ramp|||
dimensions of the level landing where the ramp changes direction|<ACCY>|height=user defined, length=user defined, ramp=separate, ramp=yes, width=user defined||Change in Ground Height|Ramp|dimensions of the level landing where the ramp changes direction|||
dispersed location of wheelchair space (seatings)|<ACCY>||clear_floor_space=yes, location=dispersed, wheelchair_spaces=yes|Movables|Wheelchair space (seatings)|location (dispersed)|||WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
dispersed location of wheelchair spaces (seatings) allow location choices and viewing angles equivalent to other seating|<ACCY>||clear_floor_space=yes, line_of_sight=equivalent, location=dispersed, wheelchair_spaces=yes|Movables|Wheelchair space (seatings)|location (dispersed)|to allow location choices and viewing angles equivalent to other seating||WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
distance from handrail to adjacent components in cm|<ACCY>|handrail=both, handrail=center, handrail=left handrail=multiple, handrail=no, handrail=none, handrail=rigth, handrail=yes, handrail:center=no, handrail:center=yes, handrail:left=no, handrail:left=yes, handrail:right=no, handrail:right=yes, length=user defined||Change Elevation|Stairs|handrail [3]|distance to adjacent components in cm||Stairs#hasHandRail
existence of accessibility sign at the accessible aisle|<ACCY>|footway=access_aisle|sign=accessibility|Facility daily needs|Services|service desks|existence of accessibility sign at the accessible aisle|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, WheelchairParking#hasDedicatedSignage, WheelchairParking#length, WheelchairParking#location, WheelchairParking#width
existence of ramp with wheel guards|<ACCY>|ramp=yes|wheel_guards=yes|Change in Ground Height|Ramp|wheel guards|existence [2]||
fakoo: 9 dots, can be read with eyes easily because it represents latin letters, the letters are in fakoo|<ACCY>|tactile_writing:fakoo:lg=yes, tactile_writing:fakoo:lg=no|||||||
fixed locations of wheelchair spaces are dispersed|<ACCY>|wheelchair=limited, wheelchair=yes|clear_floor_space=yes, location=dispersed, wheelchair_spaces=yes|Movables|Wheelchair space (seatings)|location (dispersed)|fixed [2]|Accessibility#accessibleWith.wheelchair == true, Accessibility#partiallyAccessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Accessibility#partiallyAccessibleWith.wheelchair, PlaceInfo#accessibility, Room#isAccessibleWithWheelchair, WheelchairParking#location, WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
fixed seating (no space for wheelchair)|<ACCY>|amenity=bench, indoor_seating=bar_table, indoor_seating=yes, outdoor_seating=yes, room=benches, seats=user defined, wheelchair=limited, wheelchair=no|seats=fixed|Movables|Seatings|fixed seating (no space for wheelchair)||Accessibility#accessibleWith.wheelchair == false, Accessibility#partiallyAccessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Accessibility#partiallyAccessibleWith.wheelchair, PlaceInfo#accessibility, WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
floor is accessible in the open hours|<ACCY>|access=yes, access:disabled=yes, opening_hours=Mo-Fr 08:00-12:00,13:00-17:30; Sa 08:00-12:00; PH off, wheelchair=yes||Building characteristics|Floor (pathway)|access [5]|open hours||PlaceInfo#accessibility
floor number sign with text contrast|<ACCY>|colour=aqua, colour=black, colour=blue, colour=brown, colour=cyan, colour=fuchsia, colour=green, colour=gray, colour=grey, colour=lime, colour=magenta, colour=maroon, colour=navy, colour=olive, colour=orange, colour=purple, colour=red, colour=silver, colour=teal, colour=white, colour=yellow, colour:text=black, colour:text=black;blue, colour:text=blue, colour:text=brown, colour:text=green, colour:text=grey, colour:text=light_yellow, colour:text=red, colour:text=white, colour:text=yellow|high_contrast=no, high_contrast=yes, sign=floor_number, sign=yes|Change Elevation|Elevator|floor number sign|text contrast||EquipmentProperties#isHighContrast, StructuredAddress#text
fulfills needs deaf or hearing impaired persons|<ACCY>|dehoga:d=yes, dehoga:e=yes|||||||
fulfills needs of blind or visually impaired persons|<ACCY>|dehoga:c=yes, dehoga:e=yes|||||||
fulfills needs of wheelchair users with assistence|<ACCY>|dehoga:a=yes, dehoga:e=yes|||||||WheelchairPlaces#hasSpaceForAssistant
fulfills needs of wheelchair users without assistence|<ACCY>|dehoga:b=yes, dehoga:e=yes|||||||WheelchairPlaces#hasSpaceForAssistant
generally not accessible for disabled persons|<ACCY>|access:disabled=private, disability_access=no, wheelchair=no||||||Accessibility#accessibleWith.wheelchair == false|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility
guidance system for persons with blindness|<ACCY>|Acoustic guide=yes, information=audioguide, tactile_paving=contrasted, tactile_paving=incorrect, tactile_paving=primitive, tactile_paving=yes, tactile_writing:braille:lg=yes, tactile_writing:computer_braille:lg=yes, tactile_writing:embossed_printed_letters:lg=yes, tactile_writing:engraved_printed_letters:lg=yes, tactile_writing:fakoo:lg=yes, tactile_writing:moon:lg=yes||General help for orientation / Technical assistance|Guidance system|for persons with blindness [1]|||EquipmentProperties#hasSpeech, PlaceInfo#accessibility, Stairs#hasBrailleNavigation
guide dog permitted|<ACCY>|dog=designated, dog=leashed, dog=no, dog=unleashed, dog=yes|dog=guide|General building information|Formal information|guide dog permitted|||AnimalPolicy#allowsGuideDogs
handrail at stair provides visual contrast to the adjacent component|<ACCY>|handrail=both, handrail=center, handrail=left handrail=multiple, handrail=rigth, handrail=yes, handrail:center=no, handrail:center=yes, handrail:left=no, handrail:left=yes, handrail:right=no, handrail:right=yes, highway=steps, room=stair, stairs=yes, visual:condition=good|high_contrast=yes|Change Elevation|Stairs|handrail [3]|visual contrast to the adjacent component||EquipmentProperties#isHighContrast, Stairs#hasHandRail
handrail extends beyond the ends of the ramp|<ACCY>|handrail=both, handrail=center, handrail=left handrail=multiple, handrail=rigth, handrail=yes, handrail:center=no, handrail:center=yes, handrail:left=no, handrail:left=yes, handrail:right=no, handrail:right=yes, length=user defined, ramp=yes||Change in Ground Height|Ramp|handrail [2]|extends beyond the ends of the ramp||
handrail in the center|<ACCY>|handrail=center, handrail:center=yes|||||||Stairs#hasHandRail
handrail on the left relative to direction of the way|<ACCY>|handrail=both, handrail=left, handrail:left=yes|||||||Stairs#hasHandRail
handrail on the right relative to direction of the way|<ACCY>|handrail=both, handrail=right, handrail:right=yes|||||||Stairs#hasHandRail
handrail type: circular, non-circular, dimensions|<ACCY>|height=user defined, length=user defined, width=user defined|handrail:type=circular, handrail:type=non-circular|Change in Ground Height|Ramp|handrail [2]|type: circular, non-circular, dimensions||Stairs#hasHandRail
haptic information|<ACCY>|information=tactile_map, information=tactile_model, tactile_paving=contrasted, tactile_paving=incorrect, tactile_paving=no, tactile_paving=primitive, tactile_paving=yes, tactile_writing:braille:lg=no, tactile_writing:braille:lg=yes, tactile_writing:computer_braille:lg=no, tactile_writing:computer_braille:lg=yes, tactile_writing:embossed_printed_letters:lg=no, tactile_writing:embossed_printed_letters:lg=yes, tactile_writing:engraved_printed_letters:lg=no, tactile_writing:engraved_printed_letters:lg=yes, tactile_writing:fakoo:lg=no, tactile_writing:fakoo:lg=yes, tactile_writing:moon:lg=no, tactile_writing:moon:lg=yes, traffic_signals:arrow=no, traffic_signals:arrow=yes, traffic_signals:floor_vibration=no, traffic_signals:floor_vibration=yes, traffic_signals:minimap=no, traffic_signals:minimap=yes|information=haptic|General help for orientation / Technical assistance|Reference points|haptic information|||Media#isBraille, Stairs#hasBrailleNavigation, Stairs#hasTactileSafetyStrips
height of handrail at ramp|<ACCY>|handrail=both, handrail=center, handrail=left handrail=multiple, handrail=rigth, handrail=yes, handrail:center=no, handrail:center=yes, handrail:left=no, handrail:left=yes, handrail:right=no, handrail:right=yes, heigth=user defined, highway=access_ramp, ramp=yes||Change in Ground Height|Ramp|handrail [2]|height [3]||
height of knee space dimensions|<ACCY>|heigth=user defined|height:knee_space=user defined|Movables|Wheelchair space (seatings)|knee space dimensions|height [10]||
height of public TTY|<ACCY>|heigth=user defined|amenity=teletypewriter, height:teletypewriter=user defined|Facility daily needs|Public telephone|TTY|height [28]||
height of shower support rails|<ACCY>|amenity=shower, facilities=showers, height=user defined|grab_bar=user defined||||||Shower#supportRailsHeight
height of the accessible surface in wheelchair space (seatings)|<ACCY>|access=yes, access:disabled=yes, height=user defined|accessible_surface=yes, accessible_surface:height=user defined, clear_floor_space=yes, height:accessible_surface=user defined|Movables|Wheelchair space (seatings)|height of the accessible surface||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
height of threshold is 2|<ACCY>|height:threshold=2|||||||
height of wheel guards at a ramp|<ACCY>|height=user defined, ramp:wheelchair=yes, wheelchair=yes|height:wheel_guards=user defined, wheel_guards=yes, wheel_guards:height=user defined|Change in Ground Height|Ramp|wheel guards|height [4]|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair
If (floor width 149 - 120 cm): after max. 6 m, area of 150 x 150 cm available / not available|<ACCY>|highway=footway, highway=path, length=user defined, width=user defined|clear_floor_space=no, clear_floor_space=yes|Building characteristics|Floor (pathway)|dimension [10]|If (width 149 - 120 cm): after max. 6 m, area of 150 x 150 cm available / not available||Door#turningSpaceInFront, Ground#turningSpace, Media#turningSpaceInFront, Pathways#width, Pathways#widthAtObstacles, Restroom#turningSpaceInside, Toilet#spaceInFront, Toilet#spaceOnUsersLeftSide, Toilet#spaceOnUsersRightSide
If (floor width 179-150 cm): after max 15m, area of 180 x 180 cm available / not available|<ACCY>|highway=footway, highway=path, length=user defined, width=user defined|clear_floor_space=no, clear_floor_space=yes|Building characteristics|Floor (pathway)|dimension [10]|If (width 179-150 cm): after max 15m, area of 180 x 180 cm available / not available||Door#turningSpaceInFront, Ground#turningSpace, Media#turningSpaceInFront, Pathways#width, Pathways#widthAtObstacles, Restroom#turningSpaceInside, Toilet#spaceInFront, Toilet#spaceOnUsersLeftSide, Toilet#spaceOnUsersRightSide
If (floor width >= 800 cm), then: tactile pavement / ground indicating system [Leitlinie]: available / not available|<ACCY>|information=route_marker, information=trail_blaze, tactile_paving=contrasted, tactile_paving=incorrect, tactile_paving=no, tactile_paving=primitive, tactile_paving=yes, width=user defined||Building characteristics|Floor (pathway)|dimension [10]|If (width >= 800 cm), then: tactile pavement / ground indicating system [Leitlinie]: available / not available||Door#turningSpaceInFront, Ground#turningSpace, Media#turningSpaceInFront, Pathways#width, Pathways#widthAtObstacles, PlaceInfo#accessibility, Restroom#turningSpaceInside
handrail situated relative to direction of way|<ACCY>|handrail=both, handrail=left, handrail=right|||||||
Is not wheelchair accessible|<ACCY>|wheelchair=no, kerb=rolled||||||Accessibility#accessibleWith.wheelchair == false, Accessibility#partiallyAccessibleWith.wheelchair == true|Accessibility#partiallyAccessibleWith.wheelchair, Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility
Is partially wheelchair accessible|<ACCY>|wheelchair=limited||||||Accessibility#partiallyAccessibleWith.wheelchair == true|Accessibility#partiallyAccessibleWith.wheelchair, PlaceInfo#accessibility, WheelchairPlaces#count
Is wheelchair accessible|<ACCY>|wheelchair=yes, elevator=wheelchair, toilets:wheelchair=yes||Facility daily needs|Toilet / toilet compartment|lavatories|accessbility by wheelchair|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Restroom#isAccessibleWithWheelchair, Room#isAccessibleWithWheelchair, Shower#isLevel, WashBasin#accessibleWithWheelchair, WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
knee space dimensions in wheelchair space (seatings)|<ACCY>|height=user defined, length=user defined, width=user defined|clear_floor_space=yes|Movables|Wheelchair space (seatings)|knee space dimensions|||WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
length of accessible counter|<ACCY>|access=yes, access:disabled=yes, length=user defined, room=check-in-counter, room=check-out-counter, wheelchair=yes|counter=accessible|Facility daily needs|Services|service desks|dimension: length of accessible counter|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility
length of ramp|<ACCY>|length=user defined, ramp=yes||Change in Ground Height|Ramp|dimension [12]|length [1]||
limited access for blind persons|<ACCY>|access:blind=limited, blind=limited|||||||PlaceInfo#accessibility
limited access for deaf persons|<ACCY>|access:deaf=limited|||||||PlaceInfo#accessibility
limited access for mental disabled persons|<ACCY>|access:mental_disabled=limited|||||||PlaceInfo#accessibility
limited access for persons with sitting disabilities|<ACCY>|sitting_disability=limited|||||||PlaceInfo#accessibility
limited access for persons with walking disabilities|<ACCY>|walking_disability=limited|||||||PlaceInfo#accessibility
limited access for wheelchairs because of a step|<ACCY>|obstacle:wheelchair=step|||||||PlaceInfo#accessibility, Shower#step
location of tactile description on a tactile signpost|<ACCY>|blind:description:lg=user defined, information=guidepost, tactile_writing:braille:lg=no, tactile_writing:braille:lg=yes, tactile_writing:computer_braille:lg=no, tactile_writing:computer_braille:lg=yes, tactile_writing:embossed_printed_letters:lg=no, tactile_writing:embossed_printed_letters:lg=yes, tactile_writing:engraved_printed_letters:lg=no, tactile_writing:engraved_printed_letters:lg=yes, tactile_writing:fakoo:lg=no, tactile_writing:fakoo:lg=yes, tactile_writing:moon:lg=no, tactile_writing:moon:lg=yes|location:description:lg=user defined|General help for orientation / Technical assistance|Signage|tactile signpost|location of tactile description||PlaceInfo#description
location of tactile map|<ACCY>|information=tactile_map|location:description:lg=user defined|General help for orientation / Technical assistance|Plan|type [12]|tactile map (location)||PlaceInfo#description
maneuvering clearance in rooms / venues / offices|<ACCY>|height=user defined, length=user defined, indoor=room, room=office, wheelchair=yes, width=user defined|clear_floor_space=user defined, clear_floor_space=yes|General help for orientation / Technical assistance|Rooms / venues / offices|maneuvering clearance||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Ground#turningSpace, Media#turningSpaceInFront, PlaceInfo#accessibility, Restroom#turningSpaceInside, Room#isAccessibleWithWheelchair
maneuvering clearance on floor (pathway)|<ACCY>|height=user defined, highway=footway, highway=path, length=user defined, wheelchair=yes, width=user defined|clear_floor_space=user defined, clear_floor_space=yes|Building characteristics|Floor (pathway)|dimension [10]|maneuvering clearance|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Ground#turningSpace, Media#turningSpaceInFront, Pathways#width, Pathways#widthAtObstacles, PlaceInfo#accessibility, Restroom#turningSpaceInside, Room#isAccessibleWithWheelchair
map that can be read with fingers|<ACCY>|information=tactile_map|||||||
ramp mapped as a separate way in OpenStreetMap|<ACCY>|ramp=seperated|||||||
media has contrasting background|<ACCY>|room=media|high_contrast=yes||||||Media#hasContrastingBackground
media has dedicated screen for subtitles|<ACCY>|room=yes|subtitle=screen||||||Media#hasDedicatedScreenForSubtitles, Media#hasRealTimeCaptioning
media has plain language option|<ACCY>|room=media|plain:lg=yes||||||Media#hasPlainLanguageOption
media has real time captioning|<ACCY>|real_time_information=yes, room=media|||||||Media#hasRealTimeCaptioning
media has subtitles|<ACCY>|room=media|subtitle:lg=yes||||||Media#hasSubtitles
